recording_id,topic,type,count,manifest_count,source_start_s,source_end_s,receive_start_s,receive_end_s,source_start_ns,source_end_ns,receive_start_ns,receive_end_ns,source_dt_s,receive_dt_s,receive_minus_source_s,source_nonincreasing,source_missing,nonfinite_values,source_median_hz,source_mean_hz,source_gap_threshold_s,source_long_gap_count,receive_stall_count
gait_20260909_145914_2e0541078764,/rslidar_front/points,sensor_msgs/msg/PointCloud2,394,394,-0.072678054,39.227308786,0.046461146,39.352381435,1788937154000021219,1788937193300008059,1788937154119160419,1788937193425080708,"{""min"": 0.09878707, ""median"": 0.099997997, ""p95"": 0.100116968, ""max"": 0.10111475}","{""min"": 0.015270272, ""median"": 0.099670884, ""p95"": 0.1097056156, ""max"": 0.316138533}","{""min"": 0.117221688, ""median"": 0.12292277600000001, ""p95"": 0.1311804623, ""max"": 0.334954715}",0,0,0,10.00020030401209,10.000003348601629,0.499989985,0,0
gait_20260909_145914_2e0541078764,/rslidar_rear/points,sensor_msgs/msg/PointCloud2,394,394,-0.072686398,39.227312839,0.056179129,39.345506141,1788937154000012875,1788937193300012112,1788937154128878402,1788937193418205414,"{""min"": 0.09910202, ""median"": 0.099999904, ""p95"": 0.1001167778, ""max"": 0.101121187}","{""min"": 0.011143874, ""median"": 0.10003358, ""p95"": 0.11233456059999998, ""max"": 0.315504966}","{""min"": 0.116344244, ""median"": 0.124403828, ""p95"": 0.13421386999999996, ""max"": 0.341954528}",0,0,0,10.000009600009216,10.000000194147587,0.49999952000000003,0,0
gait_20260909_150146_9b19dc6690ec,/GAIT,drdds/msg/Gait,11,11,,,6.401507042,109.294022974,0,0,1788937313368043533,1788937416260559465,"{""min"": 0.0, ""median"": 0.0, ""p95"": 0.0, ""max"": 0.0}","{""min"": 2.536211174, ""median"": 8.789564534, ""p95"": 20.633510649049995, ""max"": 21.777812747}",,10,11,0,,,0.1,0,10
gait_20260909_150146_9b19dc6690ec,/HANDLE_STEER,drdds/msg/Steer,812,812,2.070428441,108.177082921,2.10091006,108.762817163,1788937309036964932,1788937415143619412,1788937309067446551,1788937415729353654,"{""min"": 8.5e-08, ""median"": 8.0995e-05, ""p95"": 1.0000815825, ""max"": 5.005032284}","{""min"": 0.000844446, ""median"": 0.080641048, ""p95"": 0.286366589, ""max"": 5.031996084}","{""min"": -0.121791945, ""median"": 0.394929929, ""p95"": 0.85916479445, ""max"": 0.945963762}",0,0,0,12346.441138341872,7.643252951235636,0.1,86,51
gait_20260909_150146_9b19dc6690ec,/IMU,sensor_msgs/msg/Imu,22928,22928,-0.018536491,114.616463509,-0.00606352,114.629022437,1788937306948000000,1788937421583000000,1788937306960472971,1788937421595558928,"{""min"": 0.005, ""median"": 0.005, ""p95"": 0.005, ""max"": 0.005}","{""min"": 0.000676352, ""median"": 0.005008865, ""p95"": 0.008186365500000002, ""max"": 0.212022411}","{""min"": 0.009290883, ""median"": 0.011377237, ""p95"": 0.060620100249999934, ""max"": 0.342158371}",0,0,0,200.0,200.0,0.1,0,2
gait_20260909_150146_9b19dc6690ec,/JOINTS_DATA,drdds/msg/JointsData,22925,22925,-0.007901341,114.625108552,0.00860272,114.626994918,1788937306958635150,1788937421591645043,1788937306975139211,1788937421593531409,"{""min"": 5.6875e-05, ""median"": 0.005000042, ""p95"": 0.0050116645, ""max"": 0.028861586}","{""min"": 0.000878976, ""median"": 0.004977888, ""p95"": 0.008419273699999995, ""max"": 0.210764972}","{""min"": 0.00078584, ""median"": 0.001726448, ""p95"": 0.05206046539999994, ""max"": 0.334900731}",0,0,0,199.9983200141119,199.97730166378403,0.1,0,3
gait_20260909_150146_9b19dc6690ec,/JOINTS_DATA_10HZ,drdds/msg/JointsData,1147,1147,0.012102911,114.625108552,0.021888033,114.627903525,1788937306978639402,1788937421591645043,1788937306988424524,1788937421594440016,"{""min"": 0.095214884, ""median"": 0.099999969, ""p95"": 0.10001076, ""max"": 0.112997803}","{""min"": 0.014891679, ""median"": 0.099968577, ""p95"": 0.10882468075, ""max"": 0.284915834}","{""min"": 0.001078539, ""median"": 0.00268312, ""p95"": 0.01742238670000004, ""max"": 0.187487846}",0,0,0,10.000003100000962,9.998865256091378,0.49999984499999994,0,0
gait_20260909_150146_9b19dc6690ec,/MOTION_INFO,drdds/msg/MotionInfo,2296,2296,0.005363661,114.588462965,0.015581825,114.589857423,1788937306971900152,1788937421554999456,1788937306982118316,1788937421556393914,"{""min"": 0.009996001, ""median"": 0.05000013, ""p95"": 0.0500156763, ""max"": 0.063001465}","{""min"": 0.003206112, ""median"": 0.049964609, ""p95"": 0.053392638799999996, ""max"": 0.269340605}","{""min"": 0.000718616, ""median"": 0.001501984, ""p95"": 0.012278961000000001, ""max"": 0.235378366}",0,0,0,19.999948000135202,20.0291318173472,0.25000065,0,2
gait_20260909_150146_9b19dc6690ec,/STEER,drdds/msg/Steer,812,812,2.070428441,108.177082921,2.099834988,108.762428427,1788937309036964932,1788937415143619412,1788937309066371479,1788937415728964918,"{""min"": 8.5e-08, ""median"": 8.0995e-05, ""p95"": 1.0000815825, ""max"": 5.005032284}","{""min"": 0.000978464, ""median"": 0.080665638, ""p95"": 0.2930382935, ""max"": 5.029590356}","{""min"": -0.122291305, ""median"": 0.394500921, ""p95"": 0.85861072575, ""max"": 0.945590994}",0,0,0,12346.441138341872,7.643252951235636,0.1,86,51
gait_20260909_150146_9b19dc6690ec,/rslidar_front/points,sensor_msgs/msg/PointCloud2,1146,1146,-0.066529481,114.433479817,0.056371298,114.557451703,1788937306900007010,1788937421400016308,1788937307022907789,1788937421523988194,"{""min"": 0.095251322, ""median"": 0.099997044, ""p95"": 0.1002958296, ""max"": 0.104913711}","{""min"": 0.015571451, ""median"": 0.10007666, ""p95"": 0.1100635232, ""max"": 0.279378553}","{""min"": 0.115394874, ""median"": 0.122194045, ""p95"": 0.13150654575, ""max"": 0.300883635}",0,0,0,10.000295608738195,9.999999187947665,0.49998521999999995,0,0
gait_20260909_150146_9b19dc6690ec,/rslidar_rear/points,sensor_msgs/msg/PointCloud2,1146,1146,-0.066525428,114.433479578,0.061865634,114.56210175,1788937306900011063,1788937421400016069,1788937307028402125,1788937421528638241,"{""min"": 0.095098019, ""median"": 0.099997282, ""p95"": 0.1003321176, ""max"": 0.105447769}","{""min"": 0.015703871, ""median"": 0.099933212, ""p95"": 0.10988600219999999, ""max"": 0.310698801}","{""min"": 0.111850242, ""median"": 0.1256355455, ""p95"": 0.13145558975, ""max"": 0.339360443}",0,0,0,10.000271807387724,9.999999562794779,0.49998641000000005,0,0
gait_20260909_150705_4fe2b5f8eebd,/GAIT,drdds/msg/Gait,10,10,,,7.533405047,80.499591328,0,0,1788937633440611891,1788937706406798172,"{""min"": 0.0, ""median"": 0.0, ""p95"": 0.0, ""max"": 0.0}","{""min"": 0.662836619, ""median"": 6.730686527, ""p95"": 19.010477749999996, ""max"": 21.89489131}",,9,10,0,,,0.1,0,9
gait_20260909_150705_4fe2b5f8eebd,/HANDLE_STEER,drdds/msg/Steer,460,460,0.447399217,83.529968382,0.802004651,83.374264545,1788937626354606061,1788937709437175226,1788937626709211495,1788937709281471389,"{""min"": 5.9055e-05, ""median"": 8.1216e-05, ""p95"": 1.0000838177, ""max"": 17.016341229}","{""min"": 0.01078787, ""median"": 0.081047646, ""p95"": 0.16513728369999994, ""max"": 16.406699447}","{""min"": -0.411027986, ""median"": 0.119437509, ""p95"": 0.56528571295, ""max"": 0.62953862}",0,0,0,12312.84475965327,5.524624534521037,0.1,52,22
gait_20260909_150705_4fe2b5f8eebd,/IMU,sensor_msgs/msg/Imu,18652,18652,-0.019206844,93.235793156,0.005561503,93.246587355,1788937625888000000,1788937719143000000,1788937625912768347,1788937719153794199,"{""min"": 0.005, ""median"": 0.005, ""p95"": 0.005, ""max"": 0.005}","{""min"": 0.0010264, ""median"": 0.005040993, ""p95"": 0.0075771535, ""max"": 0.247010581}","{""min"": 0.009345984, ""median"": 0.010713105, ""p95"": 0.04412448795000007, ""max"": 0.271072752}",0,0,0,200.0,200.0,0.1,0,1
gait_20260909_150705_4fe2b5f8eebd,/JOINTS_DATA,drdds/msg/JointsData,18652,18652,-0.009566731,93.246430931,0.008414175,93.247907611,1788937625897640113,1788937719153637775,1788937625915621019,1788937719155114455,"{""min"": 0.004855668, ""median"": 0.005000042, ""p95"": 0.005015209, ""max"": 0.005975376}","{""min"": 0.000999487, ""median"": 0.004997823, ""p95"": 0.0075705914999999995, ""max"": 0.251684276}","{""min"": 0.000761785, ""median"": 0.0018013965, ""p95"": 0.037005292250000106, ""max"": 0.266675234}",0,0,0,199.9983200141119,199.99786037997552,0.1,0,1
