t,cpu_11395,rss_mib_11395,cpu_11351,rss_mib_11351,rx_mbit_s,tx_mbit_s
3892.2,30.91,60.1,0.00,50.8,161.77,0.58
3893.2,30.92,60.1,1.00,50.8,159.04,0.57
3894.2,31.91,60.1,1.00,50.8,163.33,0.60
3895.2,30.91,60.1,0.00,50.8,163.97,0.59
3896.2,30.90,60.1,1.00,50.8,164.05,0.59
3897.2,31.90,60.1,1.00,50.8,164.09,68508.47
3898.2,30.91,60.1,0.00,50.8,163.96,0.58
3899.2,31.91,60.1,1.00,50.8,163.90,0.59
3900.2,30.91,60.1,0.00,50.8,164.39,0.56
3901.2,31.91,60.4,1.00,50.8,168.35,0.57
3902.2,30.91,60.9,0.00,50.8,168.09,68524.58
3903.2,33.90,60.9,0.00,50.8,164.05,0.58
3904.2,30.91,63.9,1.00,50.8,166.29,0.58
3905.2,31.90,63.9,1.00,50.8,163.79,0.59
3906.2,32.90,65.4,0.00,50.8,163.61,0.58
3907.2,31.90,66.8,0.00,50.8,163.86,0.57
3908.2,30.90,62.9,1.99,50.8,163.81,68502.56
3909.2,31.91,66.8,0.00,50.8,163.89,0.58
3910.3,32.90,60.1,0.00,50.8,163.83,0.75
3911.3,32.90,60.1,0.00,50.8,163.75,0.39
3912.3,30.91,60.1,1.00,50.8,163.94,0.60
3913.3,29.91,60.1,1.00,50.8,163.89,68508.58
3914.3,32.90,60.1,1.00,50.8,163.85,0.42
3915.3,30.91,60.1,0.00,50.8,163.79,0.59
3916.3,32.90,60.1,0.00,50.8,163.86,0.76
3917.3,30.90,60.1,1.00,50.8,163.72,0.41
3918.3,31.90,60.1,0.00,50.8,163.80,0.58
3919.3,30.91,60.1,1.00,50.8,163.86,68529.07
3920.3,30.91,60.1,1.00,50.8,163.84,0.41
3921.3,32.90,60.1,0.00,50.8,163.72,0.58
3922.3,32.91,60.1,1.00,50.8,163.89,0.74
3923.3,31.91,60.1,0.00,50.8,163.74,0.41
3924.3,31.91,60.1,1.00,50.8,163.90,68521.33
3925.3,31.91,60.1,1.00,50.8,163.70,0.73
3926.3,32.91,60.1,1.00,50.8,163.75,0.41
3927.3,32.90,60.1,0.00,50.8,163.76,0.58
3928.3,32.89,60.1,0.00,50.8,163.67,0.74
3929.3,31.91,60.1,1.00,50.8,163.83,0.41
3930.3,30.92,60.1,1.00,50.8,163.99,68542.12
3931.3,31.91,60.1,0.00,50.8,163.84,0.76
3932.3,29.91,60.1,1.00,50.8,163.89,0.43
3933.3,32.91,60.1,0.00,50.8,163.99,0.58
3934.3,31.91,60.1,1.00,50.8,166.57,0.75
3935.3,31.91,60.3,0.00,50.8,165.53,68534.28
3936.3,31.91,60.7,0.00,50.8,167.14,0.60
3937.3,32.91,60.8,1.00,50.8,164.86,0.75
3938.3,31.91,61.2,1.00,50.8,166.30,0.41
3939.3,32.91,63.9,0.00,50.8,163.95,0.60
3940.3,32.88,65.0,0.00,50.8,163.96,0.75
3941.3,31.90,66.3,1.00,50.8,163.89,68511.39
3942.3,30.91,66.3,0.00,50.8,163.95,0.59
3943.3,32.90,60.1,1.99,50.8,163.83,0.75
